date,drug_name,sales
2023-01-01,Paracetamol,97
2023-01-02,Paracetamol,107
2023-01-03,Paracetamol,109
2023-01-04,Paracetamol,105
2023-01-05,Paracetamol,92
2023-01-06,Paracetamol,88
2023-01-07,Paracetamol,86
2023-01-08,Paracetamol,97
2023-01-09,Paracetamol,107
2023-01-10,Paracetamol,106
2023-01-11,Paracetamol,103
2023-01-12,Paracetamol,94
2023-01-13,Paracetamol,89
2023-01-14,Paracetamol,90
2023-01-15,Paracetamol,97
2023-01-16,Paracetamol,106
2023-01-17,Paracetamol,109
2023-01-18,Paracetamol,101
2023-01-19,Paracetamol,95
2023-01-20,Paracetamol,89
2023-01-21,Paracetamol,93
2023-01-22,Paracetamol,98
2023-01-23,Paracetamol,106
2023-01-24,Paracetamol,112
2023-01-25,Paracetamol,99
2023-01-26,Paracetamol,97
2023-01-27,Paracetamol,91
2023-01-28,Paracetamol,89
2023-01-29,Paracetamol,101
2023-01-30,Paracetamol,108
2023-01-31,Paracetamol,108
2023-02-01,Paracetamol,101
2023-02-02,Paracetamol,96
2023-02-03,Paracetamol,88
2023-02-04,Paracetamol,89
2023-02-05,Paracetamol,98
2023-02-06,Paracetamol,106
2023-02-07,Paracetamol,109
2023-02-08,Paracetamol,103
2023-02-09,Paracetamol,97
2023-02-10,Paracetamol,91
2023-02-11,Paracetamol,91
2023-02-12,Paracetamol,98
2023-02-13,Paracetamol,110
2023-02-14,Paracetamol,111
2023-02-15,Paracetamol,109
2023-02-16,Paracetamol,96
2023-02-17,Paracetamol,93
2023-02-18,Paracetamol,93
2023-02-19,Paracetamol,100
2023-02-20,Paracetamol,104
2023-02-21,Paracetamol,111
2023-02-22,Paracetamol,102
2023-02-23,Paracetamol,94
2023-02-24,Paracetamol,90
2023-02-25,Paracetamol,91
2023-02-26,Paracetamol,97
2023-02-27,Paracetamol,106
2023-02-28,Paracetamol,112
2023-03-01,Paracetamol,106
2023-03-02,Paracetamol,97
2023-03-03,Paracetamol,91
2023-03-04,Paracetamol,94
2023-03-05,Paracetamol,101
2023-03-06,Paracetamol,108
2023-03-07,Paracetamol,112
2023-03-08,Paracetamol,104
2023-03-09,Paracetamol,94
2023-03-10,Paracetamol,93
2023-03-11,Paracetamol,95
2023-03-12,Paracetamol,97
2023-03-13,Paracetamol,109
2023-03-14,Paracetamol,106
2023-03-15,Paracetamol,107
2023-03-16,Paracetamol,94
2023-03-17,Paracetamol,92
2023-03-18,Paracetamol,91
2023-03-19,Paracetamol,101
2023-03-20,Paracetamol,106
2023-03-21,Paracetamol,110
2023-03-22,Paracetamol,105
2023-03-23,Paracetamol,98
2023-03-24,Paracetamol,95
2023-03-25,Paracetamol,94
2023-03-26,Paracetamol,101
2023-03-27,Paracetamol,107
2023-03-28,Paracetamol,108
2023-03-29,Paracetamol,106
2023-03-30,Paracetamol,97
